epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4914,2.89696,3.89156,4.90096,1.86646,0,0.0448,0.22833,0.04577,0.0147,0.4005,0.0625,0.00087,0.00019,2.59327,6.05013,5.35171,1.61328,0,0.000328502,0.000328502,0.0674783
2,37.5502,2.61015,2.57318,5.28912,1.42924,0,0.46546,0.07,0.0284,0.00946,0.30769,0.0925,0.00836,0.00255,2.63807,2.84888,4.33205,1.54774,0,0.000655284,0.000655284,0.0344717
3,55.2537,2.71715,2.61978,5.08052,1.53536,0,0.32052,0.12081,0.03526,0.01384,0.31321,0.11,0.02314,0.00858,2.48573,2.65116,4.34559,1.46676,0,0.000975465,0.000975465,0.00145856
4,73.4711,3.00112,2.97783,4.31841,1.66939,0,0.47588,0.09246,0.02998,0.01153,0.16182,0.09833,0.01383,0.00279,2.66441,2.79119,7.23084,1.66554,0,0.0009703,0.0009703,0.0009703
5,91.3217,2.64794,2.68619,4.0423,1.61662,0,0.33258,0.1348,0.06873,0.01953,0.02358,0.22,0.05351,0.00922,2.63744,2.69598,4.7488,1.71889,0,0.0009604,0.0009604,0.0009604
6,109.511,2.63513,2.55019,3.81703,1.67452,0,0.27634,0.12133,0.0421,0.01713,0.01497,0.21917,0.04629,0.00723,2.70061,2.88923,5.99328,1.70647,0,0.0009505,0.0009505,0.0009505
7,129.03,2.44558,2.42393,3.47142,1.57465,0,0.31343,0.19083,0.1255,0.04695,0.2607,0.10583,0.06295,0.01343,2.60264,2.34518,4.55978,1.65414,0,0.0009406,0.0009406,0.0009406
8,147.143,2.64667,2.50001,3.47912,1.66629,0,0.22517,0.13667,0.12931,0.06235,0.34891,0.09461,0.06771,0.01911,2.44345,2.18468,3.93002,1.57407,0,0.0009307,0.0009307,0.0009307
9,165.553,2.66079,2.68562,3.16386,1.6772,0,0.27018,0.11333,0.10762,0.04456,0.2683,0.11167,0.0595,0.01934,2.38108,2.34795,3.85693,1.46797,0,0.0009208,0.0009208,0.0009208
10,183.595,2.6203,2.66524,3.11074,1.48951,0,0.29149,0.15141,0.07359,0.02777,0.28607,0.13,0.07801,0.02434,2.35097,2.2776,3.75113,1.45809,0,0.0009109,0.0009109,0.0009109
11,201.415,2.36926,2.16148,2.93747,1.5029,0,0.24372,0.20833,0.09801,0.03597,0.23913,0.10041,0.09176,0.02613,2.28421,2.16695,3.28883,1.45674,0,0.000901,0.000901,0.000901
12,219.679,2.46079,2.30153,2.82682,1.51491,0,0.25299,0.19583,0.1093,0.03385,0.23908,0.13583,0.05982,0.01649,2.26206,2.24651,3.13607,1.42131,0,0.0008911,0.0008911,0.0008911
13,238.042,2.53903,2.32821,2.78339,1.52279,0,0.24777,0.255,0.18894,0.08497,0.29146,0.1775,0.1516,0.07111,2.37029,2.11494,3.45373,1.48183,0,0.0008812,0.0008812,0.0008812
14,256.934,2.44692,2.31196,2.56305,1.47236,0,0.24394,0.1945,0.13765,0.05884,0.3394,0.10917,0.1106,0.05063,2.31164,2.08267,3.58099,1.51377,0,0.0008713,0.0008713,0.0008713
